[param : -s 0 -t 1 -c 1 -g 0.000125 -r -1000 -d 2, ACC = 0.2, MSE = 4.2284, SCC = 0.008302568963327046]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r -100 -d 2, ACC = 0.2, MSE = 4.2352, SCC = 0.008001933528428094]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r -10 -d 2, ACC = 0.2, MSE = 4.2692, SCC = 0.0070688718033268495]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r -1 -d 2, ACC = 0.16, MSE = 4.2364, SCC = 0.009673351464681219]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r -0.1 -d 2, ACC = 0.12, MSE = 3.932, SCC = 0.016442092850049654]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r 0 -d 2, ACC = 46.6, MSE = 1.934, SCC = 0.25912766800069376]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r 0.1 -d 2, ACC = 78.08, MSE = 0.898, SCC = 0.6041418317459877]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r 1 -d 2, ACC = 92.84, MSE = 0.2444, SCC = 0.8826576664210267]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r 10 -d 2, ACC = 95.24000000000001, MSE = 0.1524, SCC = 0.9256441774144918]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r 100 -d 2, ACC = 95.88, MSE = 0.1344, SCC = 0.9340093864941919]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r 1000 -d 2, ACC = 95.8, MSE = 0.1164, SCC = 0.9426520688338222]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r -1000 -d 2, ACC = 0.2, MSE = 4.2284, SCC = 0.008302568963327046]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r -100 -d 2, ACC = 0.2, MSE = 4.2284, SCC = 0.008302568963327046]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r -10 -d 2, ACC = 0.2, MSE = 4.2348, SCC = 0.008091722559137872]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r -1 -d 2, ACC = 0.2, MSE = 4.26, SCC = 0.007302444639253108]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r -0.1 -d 2, ACC = 0.84, MSE = 4.4504, SCC = 0.0033149179303025456]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r 0 -d 2, ACC = 87.88, MSE = 0.4624, SCC = 0.7826997888158245]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r 0.1 -d 2, ACC = 93.52000000000001, MSE = 0.22, SCC = 0.8939576485672311]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r 1 -d 2, ACC = 95.32000000000001, MSE = 0.1492, SCC = 0.9272093745261721]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r 10 -d 2, ACC = 95.96000000000001, MSE = 0.1324, SCC = 0.9350061827353844]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r 100 -d 2, ACC = 95.76, MSE = 0.1192, SCC = 0.9412667844902384]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r 1000 -d 2, ACC = 95.0, MSE = 0.1412, SCC = 0.9307635535100904]
[param : -s 0 -t 1 -c 1 -g 0.0125 -r -1000 -d 2, ACC = 0.2, MSE = 4.2284, SCC = 0.008302568963327046]
[param : -s 0 -t 1 -c 1 -g 0.0125 -r -100 -d 2, ACC = 0.2, MSE = 4.2284, SCC = 0.008302568963327046]
[param : -s 0 -t 1 -c 1 -g 0.0125 -r -10 -d 2, ACC = 0.2, MSE = 4.2232, SCC = 0.008687846714523044]
[param : -s 0 -t 1 -c 1 -g 0.0125 -r -1 -d 2, ACC = 0.9199999999999999, MSE = 3.8188, SCC = 0.008430616146491557]
[param : -s 0 -t 1 -c 1 -g 0.0125 -r -0.1 -d 2, ACC = 97.39999999999999, MSE = 0.0956, SCC = 0.9527165720600793]
[param : -s 0 -t 1 -c 1 -g 0.0125 -r 0 -d 2, ACC = 97.56, MSE = 0.0712, SCC = 0.9647393876012946]
